order_id,latitude,longitude,delivery_successful
16c484ad-65f6-4be2-a580-ed8fe9e65984,30.45148469,-97.55275682,
69bc1c39-5d1f-4a43-af60-532e58f68aa5,30.26179311,-97.80205089,
dfd9d6d3-3200-4bcb-b7db-19e2825deba6,30.22560152,-97.88906561,false
52e135c6-eedb-41dd-a48b-f02a8a7635a8,30.23024764,-97.69415664,true
77e0aba7-0d91-4f71-88d4-2eadb68a6f2b,30.28393390,-97.77095260,false
6d027018-2b9d-426e-99e6-581f96262344,30.39241693,-98.09881322,
65585672-bd55-4da8-a420-4b2f4eb4112e,30.38056461,-97.68125304,
bff70501-48ce-408f-8282-342e060e02df,30.19078994,-97.89645560,true
efe18ee9-4dab-4dce-86e6-c55835c705a8,30.23770900,-97.89261996,
1975a443-558f-4365-bd84-1eb353ef2dde,30.33978422,-97.56363850,false
cbcc15a3-8684-4121-a246-30954ee87f8d,30.37508266,-97.49713274,true
c25de6bf-095b-4168-b0c9-de41b6894a08,30.43751818,-97.99614960,
7576bcf0-1585-469d-90dc-735f02ff112e,30.42060956,-97.68414360,
e146c429-4050-40a5-b060-3edb1b0fb8bc,30.35317802,-97.72384330,false
98a3ab4b-8096-43c0-b62c-d5defd1924bb,30.32962514,-98.03575408,
5193917b-10da-4e96-8155-90f6b49c1a41,30.43142018,-97.61774497,false
cc4bcf55-e7e3-4ec0-9a22-cd68f70e5b14,30.13322570,-97.68137616,false
2505166a-7ec3-4840-8c1f-eee164098d7b,30.30991109,-97.74537862,
f814b36e-a9a0-4f38-9ed3-207589c5dcd3,30.19701323,-97.79833241,false
ae68fe07-592f-4bbe-816f-30fe333353c1,30.45177354,-97.57297761,false
c31bf4bd-2383-4190-be15-b53652dd49fc,30.35335412,-97.88621258,true
696d59a1-cea9-4e17-bc94-69a95095ab8a,30.43008770,-98.02652495,
3838d027-899c-4f2b-b4d2-dea9ee7ec592,30.43259676,-98.02331729,false
2f233f36-7f87-4722-99bd-4356209461f3,30.52594092,-97.90356938,
5caf1a73-8837-467e-848e-5ac9010b84c6,30.44955667,-97.53642640,true
544f9bb3-75c0-45ee-b230-447aad26bed2,30.26496377,-97.72023855,true
0732c4a4-b01e-4ee7-821b-1cd421e491c9,30.24241003,-97.74716598,true
dd018491-ac37-4dc5-9a69-8df101103793,30.26152378,-97.68402712,
477ad058-e879-4a83-90d2-89eace943523,30.20826763,-97.84681727,true
c684c994-3d22-421f-a74c-f2bf7fe8267d,30.14945814,-97.73898148,false
1fba26c7-0c75-42aa-a9aa-9fd65ea6183d,30.23603762,-97.84229923,
1ec45fc9-fb47-4c42-a190-9fddf55963b2,30.27454560,-98.05292506,false
db32d5eb-bcef-483d-8593-199e8c4cb7d0,30.22075909,-97.87593045,
ba773b5d-9d3a-4c87-bcf0-83051b293b7a,30.41750129,-97.88746782,
62ec4f01-47a1-41e3-a57e-6bb5bd990a67,30.16196457,-97.63676799,
b5273fd4-fb56-48f1-b445-78bf1c1880f0,30.39343029,-97.61751875,
1de91409-eb95-4061-a81b-a0f3ed5f23d7,30.41938958,-97.56568911,
2bf767e1-c6b0-4468-afde-ef4ed798cdd8,30.33730087,-97.91626266,true
45ab0143-a88c-47b4-b3e5-892accf34132,30.27746065,-97.70701799,
0b9fb4b5-703a-42a1-a879-8bcf81f8b2d2,30.24169784,-97.81830961,
96cd3e8d-d7c4-43b7-a480-887df1e7bfff,30.20534685,-97.83924002,
44f66dc6-f6a5-4173-aa24-406df9377c7a,30.15316214,-97.86215271,
43c91e77-5e4c-463a-bcd4-fdb5d00a42bb,30.29453958,-97.82071518,false
53ef4b17-f3ca-4982-bb30-f9bad8715099,30.15917340,-97.65065348,false
9b985cc6-6984-401a-b241-bee866c7beec,30.53379557,-97.87310680,
67851bed-3f81-4e8a-8507-384c5edea6b0,30.39647565,-97.61457784,true
eb615381-13d0-4fbf-98b6-9d5699db4fc0,30.36285824,-97.71326795,
05bba2a0-ad22-4462-a863-3cf9888086b7,30.38084093,-97.92829118,true
180ec9f1-db75-4a3b-85ba-b3cf02eaed45,30.28679632,-97.69651270,
37e4ac55-d61b-4973-a816-39c4d17a89fd,30.35982054,-97.97463347,true
77945ed9-6881-45aa-8cb3-f23ce48602aa,30.26354642,-97.66471938,
7683465e-39a7-47d0-8845-f69123f91305,30.16702843,-97.82648370,true
